,mode,million_VMT,million_VHT,speed_mph,count,run_id
0,SOV,43.63975632397303,2.615366667805176,16.685903686535724,5397568.0,0
27,SOV,43.80432600918604,2.059490555954522,21.269495935553753,5546064.0,1
40,SOV,41.77918070386582,4.093266701132948,10.206806385790117,4993140.0,3
54,SOV,41.90131737306802,3.913263157625461,10.70751331696625,5012900.0,4
66,SOV,41.91658422976784,3.946898269702284,10.620132915898445,5010120.0,5
71,SOV,41.87481241802914,3.9292271105041503,10.657264454397056,5011216.0,7
94,SOV,41.82792481571259,4.106881514703369,10.184838463432936,4988452.0,8
99,SOV,41.97387278122427,3.9623110249088542,10.59328066811459,5026680.0,9
121,SOV,42.33228393934074,2.9933222209976535,14.142240899555306,5183840.0,10
194,SOV,41.9125457074592,2.01291463786438,20.82181972302944,5315560.0,11
208,SOV,41.54974889914492,1.8649577075029162,22.279190960731185,5312772.0,12
210,SOV,43.82898922445501,2.3525057801062688,18.630767922055917,5514640.0,13
225,SOV,43.836330903106294,2.4043138895370144,18.232366037509195,5501996.0,14
241,SOV,43.00803164142551,2.425327974052599,17.732872461600028,5437320.0,15
264,SOV,43.336343269898954,1.903293797052002,22.769129672477415,5531916.0,18
278,SOV,43.324559061813666,1.8921400903961858,22.89712018772466,5535204.0,19
292,SOV,43.0706713149614,1.7769388800137669,24.238690367688793,5565872.0,20
294,SOV,43.07466399412204,1.7615148190993246,24.453194220725567,5566448.0,21
309,SOV,43.0555866682741,1.7650111163714601,24.3939464567161,5565960.0,22
323,SOV,43.0589378461297,1.743987959995592,24.689928390468094,5569176.0,23
348,SOV,44.12196465186892,2.139442052819553,20.623117412187423,5521176.0,24
361,SOV,43.27421669072693,2.7574028732685005,15.693831724862038,5294640.0,25
364,SOV,44.254311241781835,2.330781144719577,18.986901169181284,5504264.0,26
391,SOV,44.291040061865196,2.3705955484413654,18.683507648947522,5499744.0,27
399,SOV,44.22234740099323,2.2656795244114853,19.51835946987254,5529408.0,28
406,SOV,43.12463838901853,4.587623546635743,9.400212975330826,5035680.0,29
426,SOV,43.30648094913197,4.296841220376994,10.078678435628202,5076376.0,30
436,SOV,43.732568259798704,3.6917282894706895,11.846096145409707,5194464.0,31
460,SOV,43.39812490631777,2.4053762184322105,18.042136017543253,5374296.0,33
474,SOV,43.677821991555376,2.923184605081516,14.941862349585472,5321944.0,34
485,SOV,41.772030807557734,1.6738269426701524,24.956003361328023,5474908.0,35
490,SOV,42.366468702877675,3.194330351474304,13.263020427215348,5194432.0,36
504,SOV,42.235816180868746,3.6399628828179256,11.603364523368802,5106248.0,37
529,SOV,42.208786184544905,3.706739440107422,11.387038896729598,5100716.0,38
532,SOV,41.77119165826366,1.6940919159237333,24.65698069014584,5451728.0,39
551,SOV,42.476169281144195,2.7938099213605416,15.20367185912883,5256476.0,40
566,SOV,42.549999357457736,2.7455867583896216,15.497597818549625,5264116.0,41
584,SOV,42.48017095526996,2.6361887476909724,16.114237264868905,5278428.0,42
588,SOV,42.55080427961066,1.781999543729316,23.87812299354555,5516552.0,43
608,SOV,42.520044857540164,1.7386557977048067,24.455700152767854,5536700.0,44
618,SOV,42.496529512091,1.7405755995081924,24.41521616418074,5537820.0,45
643,SOV,43.461261123600735,2.6695058293900553,16.280639152427334,5344432.0,46
653,SOV,44.23662456744653,2.263049061126777,19.54735552459522,5524232.0,47
658,SOV,44.50085928006807,2.3394423163667804,19.02199467314892,5507040.0,48
685,SOV,44.49583288264802,2.326995920933431,19.12157751647426,5508452.0,49
686,SOV,44.4474430390884,2.2841492364260527,19.45908013814112,5515560.0,50
702,SOV,44.41810216454399,2.300468453780348,19.308285706570743,5531804.0,51
716,SOV,44.18038769963686,2.6519314995940486,16.65970169531147,5417772.0,52
741,SOV,44.15009155762189,2.6851804663716634,16.44213195743952,5411148.0,53
742,SOV,43.62093858383971,2.9427774942291256,14.823050220202399,5265304.0,54
762,SOV,43.89461544167323,2.630769823835653,16.68508397959159,5436064.0,55
782,SOV,43.83401701241038,2.7086626614680314,16.18290001038866,5414340.0,56
785,SOV,43.906176817535155,2.4897666201359727,17.634655578737465,5471328.0,57
799,SOV,43.937133921899736,2.4876109093392604,17.662381909062287,5472208.0,58
823,SOV,43.95795175660358,2.4236106244588553,18.137382017137558,5496268.0,59
828,SOV,43.50006599485008,2.744909057950236,15.847543607631872,5382008.0,60
841,SOV,43.531190834794856,2.698878173418986,16.12936488335403,5391096.0,61
865,SOV,43.18102181437081,2.6782624380192734,16.12277467711701,5408280.0,62
868,SOV,43.05477913267446,2.6121808719641115,16.482311617380983,5414172.0,63
886,SOV,43.086822707374026,2.66081965178833,16.193063922395297,5408284.0,64
907,SOV,43.21512590677796,2.1293720814126926,20.294774353436477,5514816.0,65
922,SOV,43.44127575387194,2.347213861245863,18.50759169035156,5477548.0,67
932,SOV,43.36324915738591,2.412856417973294,17.97174868524061,5457648.0,68
940,SOV,43.900994707626545,2.4023987006841363,18.27381720408222,5422032.0,69
953,SOV,43.92637283886861,2.3967653345665147,18.327356543986916,5422948.0,70
969,SOV,43.750068530481826,2.641894155231662,16.56011405447296,5347352.0,71
986,SOV,43.72164800584705,2.675908328216654,16.338993210199067,5346336.0,72
995,SOV,43.11162598352098,3.0024804723301863,14.35866990004521,5202184.0,73
1008,SOV,42.53157130306755,3.2893701479009327,12.930004648521692,5028312.0,74
1026,SOV,42.625200686848075,3.291779230063612,12.948985247113416,5053356.0,75
1036,SOV,42.518596493511495,3.2610133341368273,13.038461403521351,5058392.0,76
1050,SOV,42.66999040002096,3.180591006297879,13.415742645165706,5089876.0,77
1076,SOV,42.90747549911948,3.07898103212382,13.935608908094752,5144104.0,78
1078,SOV,43.26679959622161,2.9634025496439955,14.60037874416333,5240432.0,79
1093,SOV,43.22554872413898,2.9827732558939957,14.491731357294686,5233872.0,80
1119,SOV,44.05526019078863,2.2995310643709987,19.158367057258808,5512492.0,81
1133,SOV,44.078776180273735,2.271945037815823,19.4013391374334,5521720.0,82
1135,SOV,43.803347341109614,1.9005937472696262,23.04719112331978,5611620.0,83
1149,SOV,43.87588109531016,1.938220940536499,22.63719278730181,5609692.0,84
1174,SOV,43.89911817794215,1.958311452298652,22.416821454224596,5605240.0,85
1178,SOV,44.17392479240809,2.0834982240225557,21.201805829775385,5597620.0,86
1190,SOV,44.17729764510055,2.0789820170781113,21.249485220266205,5596280.0,87
1206,SOV,44.0410832948802,2.0369890044563803,21.62067797053899,5609508.0,88
1223,SOV,44.039816297491065,2.0280206613964844,21.71566450766112,5608780.0,89
1245,SOV,43.51773698002744,3.4385022907833522,12.656015119336542,5246200.0,90
1258,SOV,44.04284484723944,2.6238726979691567,16.78543508659091,5425784.0,91
1272,SOV,44.00036846985379,2.6544857658500165,16.575853988715604,5417624.0,92
1281,SOV,43.13748489172298,3.097814149465807,13.925136502834325,5174036.0,95
1301,SOV,42.940453406538154,3.2065741771636964,13.391380031794608,5126352.0,96
1314,SOV,43.015870716717046,3.1666352778055145,13.58409382293219,5132432.0,97
1328,SOV,43.660624980728436,2.9912607110291205,14.596061393026261,5268112.0,98
1340,SOV,43.592109813147545,2.960719605414971,14.723484700618153,5271548.0,99
126,SOV,43.75001783874439,2.859053407197808,15.302273727591643,5323248.0,100
152,SOV,43.77811656796597,2.7284221804825846,16.04521356010337,5367792.0,101
155,SOV,43.69910675499769,2.1023285455421954,20.78605023351742,5525712.0,102
179,SOV,43.73381019757582,2.087127238283081,20.95406997493467,5530856.0,103
